Departement;Commune;Habitants;Agglo;Maire;Qui gere EP;Statut;Prestataire EP;Contact;Notes
"Hauts-de-Seine (92)";"Boulogne-Billancourt";121486;"EPT Grand Paris Seine Ouest";"Pierre-Christophe BAGUET";"";"refused";"";"06 09 51 96 56";""
"Seine-Saint-Denis (93)";"Saint-Denis";115237;"EPT Plaine Commune";"Bally BAGAYOKO";"commune";"inprogress";"";"CM";"vend 8h30"
"Seine-Saint-Denis (93)";"Montreuil";110758;"EPT Est Ensemble";"Patrice BESSAC";"";"inprogress";"";"";""
"Val-d'Oise (95)";"Argenteuil";106130;"EPT Boucle Nord de Seine";"Georges MOTHRON";"";"todo";"";"";""
"Hauts-de-Seine (92)";"Nanterre";97351;"EPT Paris Ouest La Défense";"Raphael ADAM";"";"done";"EIFFAGE energie + SATELEC";"";"CM + Bailleur "
"Val-de-Marne (94)";"Vitry-sur-Seine";95282;"EPT Grand-Orly Seine Bièvre";"Pierre BELL-LLOCH";"";"inprogress";"";"";""
"Hauts-de-Seine (92)";"Asnières-sur-Seine";93834;"EPT Boucle Nord de Seine";"Manuel AESCHLIMANN";"commune";"done";"VIOLA";"01 41 11 15 77";"plusieurs ss groupe (mpe) 4rubriquebailleur"
"Val-de-Marne (94)";"Créteil";92859;"EPT Grand Paris Sud Est Avenir";"Laurent CATHALA";"";"inprogress";"";"";""
"Seine-Saint-Denis (93)";"Aubervilliers";89489;"EPT Plaine Commune";"Sofienne KARROUMI";"";"done";"m light";"guichet.unique@mairie-aubervilliers.fr";"01 48 79 84 46"
"Hauts-de-Seine (92)";"Colombes";88870;"EPT Boucle Nord de Seine";"Joakim GIACOMONI";"commune";"done";"BENTIN";"01 47 60 80 00";"BAILLEUR"
"Seine-Saint-Denis (93)";"Aulnay-sous-Bois";86360;"EPT Paris Terres d'Envol";"Bruno BESCHIZZA";"";"inprogress";"";"";"13h30"
"Yvelines (78)";"Versailles";83587;"CA Versailles Grand Parc";"François DE MAZIÈRES";"";"callback";"";"01 30 97 82 49";""
"Hauts-de-Seine (92)";"Courbevoie";81516;"EPT Paris Ouest La Défense";"Jacques KOSSOWSKI";"commune";"done";"PRUNEVEILLE";"01 71 05 70 00";"Bailleur + CM"
"Val-de-Marne (94)";"Champigny-sur-Marne";78367;"EPT Paris Est Marne et Bois";"Laurent JEANNE";"";"inprogress";"";"";""
"Hauts-de-Seine (92)";"Rueil-Malmaison";78186;"EPT Paris Ouest La Défense";"Patrick OLLIER";"";"done";"Eiffage";"01 47 32 65 83 ; voirie-deplacements@mairie-rueilmalmaison.fr";"06 49 07 75 36"
"Val-de-Marne (94)";"Saint-Maur-des-Fossés";76010;"EPT Paris Est Marne et Bois";"Pierre-Michel DELECROIX";"";"inprogress";"";"";""
"Seine-Saint-Denis (93)";"Noisy-le-Grand";71632;"EPT Grand Paris Grand Est";"Vincent MONNIER";"";"done";"BENTIN";"";"CM + bailleur"
"Seine-Saint-Denis (93)";"Drancy";71312;"EPT Paris Terres d'Envol";"Jean-Christophe LAGARDE";"";"done";"INEO";"";"CM"
"Val-d'Oise (95)";"Cergy";70906;"CA de Cergy-Pontoise";"Jean-Paul JEANDON";"agglo";"inprogress";"CITEOS, ENTRA ET SPIR CITY NETWORK";"";""
"Hauts-de-Seine (92)";"Issy-les-Moulineaux";68580;"EPT Grand Paris Seine Ouest";"André SANTINI";"";"done";"Bouygues energies et services / CITEOS";"";"CM"
"Hauts-de-Seine (92)";"Levallois-Perret";68009;"EPT Boucle Nord de Seine";"Agnès POTTIER-DUMAS";"commune";"done";"Bouygues";"01 47 15 32 41";"CM + Bailleur"
"Essonne (91)";"Évry-Courcouronnes";66700;"CA Grand Paris Sud";"Stéphane BEAUDET";"";"callback";"";"01 69 36 66 66 ; 0 800 710 562";"Grand Paris Sud"
"Hauts-de-Seine (92)";"Antony";64912;"EPT Vallée Sud Grand Paris";"Jean-Yves SÉNANT";"commune";"done";"SATELEC";"01 55 59 22 59 ; voirie@ville-antony.fr";"CM + Bailleur"
"Hauts-de-Seine (92)";"Clichy";64849;"EPT Boucle Nord de Seine";"Rémi MUZEAU";"";"inprogress";"06 19 17 94 58";"01 47 15 96 23 ; voirie@ville-clichy.fr";""
"Val-de-Marne (94)";"Joinville-le-Pont";64526;"EPT Paris Est Marne et Bois";"Francis SELLAM";"";"inprogress";"";"";""
"Seine-Saint-Denis (93)";"Pantin";60954;"EPT Est Ensemble";"Bertrand KERN";"";"todo";"";"";"13h30"
"Seine-Saint-Denis (93)";"Le Blanc-Mesnil";59912;"EPT Paris Terres d'Envol";"Demba TRAORE";"";"done";"Non, un renouvellement est en cours";"";"CM "
"Hauts-de-Seine (92)";"Neuilly-sur-Seine";59267;"EPT Paris Ouest La Défense";"Jean-Christophe FROMANTIN";"";"callback";"";"01 40 88 88 88";"14h"
"Val-d'Oise (95)";"Sarcelles";59173;"CA Roissy Pays de France";"Bassi KONATE";"";"todo";"";"";""
"Hauts-de-Seine (92)";"Clamart";58284;"EPT Grand Paris Seine Ouest";"Jean-Didier BERGER";"";"callback";"";"";"13h30"
"Val-de-Marne (94)";"Villejuif";58142;"EPT Grand-Orly Seine Bièvre";"Pierre GARZON";"";"inprogress";"";"";""
"Val-de-Marne (94)";"Maisons-Alfort";57422;"EPT Paris Est Marne et Bois";"Romain MARIA";"commune";"done";"SATELEC";"";"CM "
"Seine-et-Marne (77)";"Meaux";55616;"CC du Pays de l'Ourcq";"Jean-François COPE";"";"inprogress";"";"";""
"Seine-Saint-Denis (93)";"Bobigny";55270;"EPT Est Ensemble";"Abdel SADI";"";"done";"STELENS";"";""
"Seine-et-Marne (77)";"Chelles";54309;"CA Paris - Vallée de la Marne";"Brice RABASTE";"";"inprogress";"";"01 64 72 84 84";""
"Essonne (91)";"Corbeil-Essonnes";53712;"CA Grand Paris Sud";"Samira KETFI";"";"inprogress";"";"";""
"Seine-Saint-Denis (93)";"Épinay-sur-Seine";53564;"EPT Plaine Commune";"Hervé CHEVREAU";"";"inprogress";"";"01 87 01 87 87";"privé : plaine commune qui s'occupe"
"Seine-Saint-Denis (93)";"Saint-Ouen-sur-Seine";53041;"EPT Plaine Commune";"Karim BOUAMRANE";"";"todo";"";"01 87 01 87 87";"privé : plaine commune"
"Val-de-Marne (94)";"Fontenay-sous-Bois";52646;"EPT Paris Est Marne et Bois";"Jean-Philippe GAUTRAIS";"syndicat";"done";"CITEOS";"";"CM"
"Seine-Saint-Denis (93)";"Sevran";51640;"EPT Paris Terres d'Envol";"Stéphane BLANCHET";"";"done";" MGPE / EIFFAGE";"";""
"Yvelines (78)";"Sartrouville";51220;"CA Saint-Germain Boucles de Seine";"Pierre FOND";"";"callback";"";"01 30 86 39 00";""
"Seine-Saint-Denis (93)";"Bondy";51066;"EPT Est Ensemble";"Stephen HERVÉ";"";"done";"INSEE";"";"cm"
"Essonne (91)";"Massy";50962;"CA Communauté Paris-Saclay";"Nicolas SAMSOEN";"";"inprogress";"";"";"13h30"
"Val-de-Marne (94)";"Vincennes";49891;"EPT Paris Est Marne et Bois";"Charlotte LIBERT";"";"inprogress";"";"";""
"Hauts-de-Seine (92)";"Gennevilliers";49410;"EPT Boucle Nord de Seine";"Patrice LECLERC";"";"callback";"";"06 20 63 04 52";"15h"
"Hauts-de-Seine (92)";"Suresnes";49104;"EPT Paris Ouest La Défense";"Guillaume BOUDY";"";"callback";"envoyé un mail";"CM";"13h30"
"Hauts-de-Seine (92)";"Montrouge";47657;"EPT Vallée Sud Grand Paris";"Étienne LENGEREAU";"";"inprogress";"envoyé un mail";"01 46 12 76 76";""
"Seine-Saint-Denis (93)";"La Courneuve";47086;"EPT Plaine Commune";"Ali DIOUARA";"";"todo";"";"01 87 01 87 87";"privé plaine commune"
"Seine-Saint-Denis (93)";"Livry-Gargan";46507;"EPT Grand Paris Grand Est";"Pierre-Yves MARTIN";"";"done";"Eiffage ";"";"CM + Bailleur"
"Hauts-de-Seine (92)";"Meudon";46342;"EPT Grand Paris Seine Ouest";"Denis LARGHERO";"";"callback";"";"";"vend 8h30"
"Hauts-de-Seine (92)";"Bagneux";46183;"EPT Vallée Sud Grand Paris";"Hélène CILLIERES";"";"callback";"";"";"13h30"
"Val-de-Marne (94)";"Choisy-le-Roi";46122;"EPT Grand-Orly Seine Bièvre";"Tonino PANETTA";"commune";"done";"SATELEC";"";"CM 1 AN OU PLUS"
"Seine-Saint-Denis (93)";"Rosny-sous-Bois";45947;"EPT Grand Paris Grand Est";"Magalie THIBAULT";"";"done";"CITEOS";"espacespublics@rosnysousbois.fr";"CM + Bailleur"
"Seine-Saint-Denis (93)";"Noisy-le-Sec";45915;"EPT Est Ensemble";"Olivier SARRABEYROUSE";"";"inprogress";"";"voirie@noisylesec.fr ; genie@noisylesec.fr";""
"Val-de-Marne (94)";"Alfortville";45569;"EPT Grand-Orly Seine Bièvre";"Luc CARVOUNAS";"agglo";"todo";"DEPARTEMENT";"01 49 56 89 74";""
"Yvelines (78)";"Mantes-la-Jolie";44539;"CU Grand Paris Seine et Oise";"Adama GAYE";"";"done";"EIFFAGE = durée de 3 ans ";"";"CM + Pas de bailleur"
"Yvelines (78)";"Saint-Germain-en-Laye";44380;"CA Saint-Germain Boucles de Seine";"Arnaud PERICARD";"";"done";"Derichebourg";"";"CM + Bailleur"
"Hauts-de-Seine (92)";"Puteaux";43672;"EPT Paris Ouest La Défense";"Joëlle CECCALDI-RAYNAUD";"commune";"done";"DALKIA";"CM";""
"Seine-et-Marne (77)";"Melun";42367;"CA Coulommiers Pays de Brie";"Kadir MEBAREK";"commune";"done";"EQUANS";"";"Oui"
"Val-d'Oise (95)";"Garges-lès-Gonesse";41791;"CA Roissy Pays de France";"Benoît JIMENEZ";"";"todo";"";"";""
"Seine-Saint-Denis (93)";"Bagnolet";41776;"EPT Est Ensemble";"Edouard DENOUEL";"";"callback";"";"01 49 93 60 00";""
"Seine-Saint-Denis (93)";"Gagny";40790;"EPT Grand Paris Grand Est";"Rolin CRANOLY";"";"done";"Eiffage energie";"";"CM, gestion communale"
"Seine-Saint-Denis (93)";"Stains";40600;"EPT Plaine Commune";"Azzédine TAÏBI";"syndicat";"done";"N.C";"Bailleur";""
"Yvelines (78)";"Poissy";40016;"CU Grand Paris Seine et Oise";"Sandrine BERNO DOS SANTOS";"";"callback";"";"01 39 22 56 40";"Demain 9h30"
"Seine-Saint-Denis (93)";"Villepinte";39647;"EPT Paris Terres d'Envol";"Melissa YOUSSOUF";"";"inprogress";"";"01 41 52 53 00";""
"Seine-Saint-Denis (93)";"Neuilly-sur-Marne";38799;"EPT Grand Paris Grand Est";"Zartoshte BAKHTIARI";"";"callback";"";"01 43 08 96 96";"Rappeler Lundi "
"Seine-et-Marne (77)";"Pontault-Combault";38258;"CA Paris - Vallée de la Marne";"Gilles BORD";"";"todo";"";"";""
"Seine-Saint-Denis (93)";"Tremblay-en-France";38210;"EPT Paris Terres d'Envol";"Virgine DE CARVALHO";"";"done";"dalkaia";"";"CM + Bailleur"
"Val-d'Oise (95)";"Franconville";37754;"CA Val Parisis";"Xavier MELKI";"";"todo";"";"";""
"Essonne (91)";"Savigny-sur-Orge";37371;"CA Val d'Yerres Val de Seine";"Alexis TEILLET";"";"inprogress";"";"";""
"Hauts-de-Seine (92)";"Châtenay-Malabry";36535;"EPT Vallée Sud Grand Paris";"Carl SEGAUD";"";"callback";"";"site internet";"vallée sud grand paris"
"Essonne (91)";"Athis-Mons";36451;"EPT Grand-Orly Seine Bièvre";"Jean-Jacques GROUSSEAU";"";"callback";"";"01 78 18 22 24 : selectionnée éclairage";"CM / communauté orly seine ievre"
"Val-d'Oise (95)";"Bezons";36434;"EPT Boucle Nord de Seine";"Nessrine MENHAOURA";"commune";"inprogress";"INEO INFRASTRUCTURES";"";"16/01/2029"
"Hauts-de-Seine (92)";"Châtillon";36210;"EPT Vallée Sud Grand Paris";"Nadège AZZAZ";"";"callback";"";"";"13h30"
"Val-de-Marne (94)";"Villeneuve-Saint-Georges";36170;"EPT Grand-Orly Seine Bièvre";"Kristell NIASME";"";"inprogress";"";"";"15H10"
"Yvelines (78)";"Conflans-Sainte-Honorine";35926;"CU Grand Paris Seine et Oise";"Raphaël PRATS";"";"callback";"";"";""
"Essonne (91)";"Sainte-Geneviève-des-Bois";35846;"CA Cur d'Essonne";"Frédéric PETITTA";"";"callback";"";"01 69 72 26 02 ";"agglomération coeur d'essonne"
"Seine-Saint-Denis (93)";"Romainville";35314;"EPT Est Ensemble";"François DECHY";"";"callback";"";"01 49 15 55 00";""
"Essonne (91)";"Palaiseau";34893;"CA Communauté Paris-Saclay";"Grégoire DE LASTEYRIE";"";"inprogress";"";"";""
"Val-de-Marne (94)";"Le Perreux-sur-Marne";34654;"EPT Paris Est Marne et Bois";"Christel ROYER";"";"inprogress";"";"";""
"Yvelines (78)";"Les Mureaux";33977;"CU Grand Paris Seine et Oise";"Damien VIGNIER";"";"done";"Citeos ";"";"CM + Bailleur"
"Yvelines (78)";"Trappes";33717;"CA de Saint-Quentin-en-Yvelines";"Ali RABEH";"";"refused";"";"";""
"Seine-Saint-Denis (93)";"Pierrefitte-sur-Seine";33670;"EPT Plaine Commune";"Michel FOURCADE";"";"todo";"";"01 87 01 87 87";"privé : plaine commune"
"Yvelines (78)";"Houilles";33449;"CA Saint-Germain Boucles de Seine";"Romain BERTRAND";"";"callback";"";"";""
"Val-de-Marne (94)";"Nogent-sur-Marne";32998;"EPT Paris Est Marne et Bois";"Gilles HAGEGE";"commune";"done";"SATELEC";"";"CM 4 ANS"
"Val-de-Marne (94)";"Villiers-sur-Marne";32547;"EPT Paris Est Marne et Bois";"Jacques Alain BENISTI";"";"done";"COOPERATIVE ELECTRICITE VILLIERS (CEV)";"01 49 30 20 52";""
"Val-de-Marne (94)";"Thiais";32006;"EPT Grand-Orly Seine Bièvre";"Richard DELL'AGNOLA";"";"inprogress";"";"";""
"Val-d'Oise (95)";"Pontoise";31970;"CA de Cergy-Pontoise";"Stéphane VON EUW";"agglo";"inprogress";"CITEOS, ENTRA ET SPIR CITY NETWORK";"";""
"Val-d'Oise (95)";"Herblay-sur-Seine";31779;"CA Val Parisis";"Philippe ROULEAU";"";"todo";"";"";""
"Yvelines (78)";"Montigny-le-Bretonneux";31777;"CA de Saint-Quentin-en-Yvelines";"Lorrain MERCKAERT";"";"callback";"";"saint quentin en yvelines : 01 39 44 80 80";""
"Yvelines (78)";"Plaisir";31375;"CA de Saint-Quentin-en-Yvelines";"Sandrine CARNEIRO";"";"callback";"";"";""
"Val-de-Marne (94)";"Ivry-sur-Seine";31338;"EPT Grand-Orly Seine Bièvre";"Philippe BOUYSSOU";"commune";"done";"BOUYGUES ENERGIE";"";"CM"
"Val-d'Oise (95)";"Goussainville";31301;"CA Roissy Pays de France";"Abdelaziz HAMIDA";"";"todo";"";"";""
"Essonne (91)";"Viry-Châtillon";31112;"CA Grand Paris Sud";"Jérôme BÉRANGER";"";"callback";"";"01 78 18 22 24";"CM / communauté orly seine ievre"
"Essonne (91)";"Vigneux-sur-Seine";31050;"CA Val d'Yerres Val de Seine";"Thomas CHAZAL";"";"done";"Eiffage";"01 69 83 56 00";"Contrat type MPE"
"Yvelines (78)";"Le Chesnay-Rocquencourt";30924;"CA Versailles Grand Parc";"Anne PÈRE-BRILLAULT";"";"done";"INEO";"";"CM et Bailleur"
